id,nome,cpf,email,telefone,data_nascimento,cidade,estado,data_cadastro,excluido_lgpd
1,João Guilherme da Cruz,321.564.087-26,alvesfrancisco@example.org,+55 92 98908-3863,1989-03-14,Pastor de da Mota,SE,2023-02-27,0
2,Otávio Fernandes,423.680.917-69,catarina94@example.org,82 98161-8495,2004-11-03,Santos,AP,2022-09-18,0
3,João Vitor Barros,316.297.854-82,vitorsampaio@example.net,+55 35 99283-2764,1948-10-20,Rodrigues,MT,2025-07-01,0
4,Ian Andrade,564.017.289-49,dramos@example.org,11 92388-4969,2003-01-16,Fonseca de Goiás,BA,2025-12-14,0
5,Benicio Camargo,296.403.781-78,antonio18@example.com,38 91462-7048,1980-05-11,Montenegro,AM,2024-10-13,0
6,Thiago Pereira,325.614.087-44,halmeida@example.com,24 93039-1171,2004-12-03,Cardoso,RO,2025-05-06,0
7,João Moura,963.451.287-91,cmoreira@example.org,+55 96 93150-9839,1978-01-11,Abreu,AP,2025-01-09,0
8,Ian Azevedo,051.472.396-34,yda-cruz@example.com,64 93116-5667,1993-11-08,Rocha,RS,2025-05-15,0
9,Nathan Siqueira,513.864.709-10,agathamartins@example.org,+55 37 97810-8013,1989-08-28,Jesus,PR,2023-02-07,0
10,Ana Liz Cavalcante,609.237.541-99,mateusda-rocha@example.org,+55 31 99805-0097,1978-06-11,Araújo,PE,2023-08-06,0
11,Bernardo Peixoto,136.049.728-50,lribeiro@example.net,99 95435-3462,1951-02-20,Marques Alegre,SP,2026-04-22,0
12,Beatriz Barbosa,834.120.695-15,lunanogueira@example.net,22 99808-4124,1950-08-16,Caldeira,SC,2022-09-22,0
13,João Miguel Pereira,359.862.710-68,portolavinia@example.com,+55 24 90524-2786,1983-05-02,Camargo,AP,2023-05-07,0
14,Yago Andrade,582.310.794-32,otto31@example.com,64 99232-2602,2005-10-12,Viana das Pedras,SE,2025-08-16,0
15,Srta. Juliana Castro,160.839.452-24,rafael30@example.net,+55 81 96541-4586,1991-04-10,Alves do Campo,GO,2026-05-12,0
16,Arthur Miguel Caldeira,965.723.014-43,caio60@example.net,+55 82 95615-9514,1957-11-02,Rios das Pedras,MT,2025-02-25,0
17,Yuri Cardoso,368.571.240-35,allana36@example.net,32 97773-8721,1973-01-25,Moraes Alegre,AP,2025-08-26,0
18,Leonardo Câmara,320.719.658-68,hadassamonteiro@example.com,+55 95 92016-3287,2001-05-19,Novais,ES,2025-11-17,0
19,Rafael Carvalho,785.634.921-28,maria-lauramachado@example.com,+55 96 94873-4714,2008-02-13,da Mata,MT,2026-04-17,0
20,Anna Liz Carvalho,236.517.049-80,vitoria76@example.org,+55 84 96690-9670,1967-06-11,da Rosa das Flores,TO,2026-06-26,0
21,Dra. Ísis Pereira,379.285.016-86,ksilveira@example.com,+55 54 99806-9901,1974-03-14,Carvalho dos Dourados,CE,2024-12-22,0
22,Lunna Cunha,758.632.910-95,valmeida@example.net,+55 28 95310-0330,1949-02-08,da Costa,BA,2023-10-17,0
23,Henrique Martins,452.960.138-24,das-nevesfernanda@example.com,+55 82 91931-4919,1977-11-29,Ferreira,PI,2025-07-13,0
24,Sr. Thiago Ramos,506.738.912-59,luaracavalcanti@example.net,99 94987-7694,1974-11-02,da Cruz de Minas,GO,2025-07-01,0
25,Ravi Nunes,965.032.178-03,valentim54@example.net,14 98083-1367,2005-09-06,Sales,PR,2024-08-08,0
26,Melissa Vieira,014.836.257-53,hnovaes@example.com,68 98557-4443,1989-08-22,Silveira,DF,2025-09-17,0
27,Dra. Ester Correia,374.586.209-00,rafael52@example.com,+55 14 98240-0842,1967-02-27,Caldeira de Albuquerque,RJ,2023-03-12,0
28,Maysa Fernandes,204.638.719-87,oliveiracaue@example.org,+55 65 99413-1869,1965-01-13,Vasconcelos,PE,2024-09-06,0
29,Letícia Pastor,640.857.129-85,enrico23@example.org,+55 37 92067-9740,1971-07-28,da Paz,RR,2024-08-07,0
30,Ana Sophia Rodrigues,349.708.125-60,joao-miguel10@example.org,24 99947-1746,1964-12-04,Montenegro da Prata,PR,2025-09-04,0
31,Ana Cecília Lopes,540.718.629-20,teixeiraluiz-fernando@example.com,98 97429-6717,1975-06-23,Jesus Alegre,MT,2023-01-10,0
32,Lucas Jesus,746.980.351-39,ayla16@example.net,+55 11 98760-3859,1991-04-16,Pires de Macedo,SP,2023-02-17,0
33,Yan Cardoso,478.069.125-76,arthur86@example.org,+55 89 91712-7484,1949-03-13,Mendes do Amparo,ES,2023-07-21,0
34,Matheus Correia,982.607.314-87,da-pazana-cecilia@example.net,91 92787-5588,1976-10-08,Marques Alegre,DF,2025-01-11,0
35,Maria Isis da Conceição,605.739.428-38,iandrade@example.net,34 91718-7026,1993-02-24,Barbosa,PR,2023-09-13,0
36,Dr. Bruno Farias,865.793.024-29,aliciada-conceicao@example.net,+55 43 96117-2400,1998-11-13,Vieira do Norte,MA,2023-10-24,0
37,Clara da Cruz,862.190.374-13,jpacheco@example.org,83 94740-7482,1970-01-29,Macedo,MS,2024-04-12,0
38,Mariana Sales,479.135.086-39,ana-carolina40@example.net,61 94090-9743,1985-09-02,Câmara do Oeste,RN,2023-12-16,0
39,Dra. Cecilia Pires,104.638.257-80,da-rochabeatriz@example.net,66 92328-5884,1962-09-28,da Cunha,TO,2025-07-26,0
40,Lucca Camargo,712.683.905-77,da-luzstella@example.org,81 95496-5137,1978-06-23,Pinto,PI,2026-02-11,0
41,Hellena Ramos,174.530.982-97,marina11@example.org,+55 61 96758-6926,1968-01-03,Mendonça,RN,2026-07-30,0
