id,nome,cargo,departamento
1,Dr. Anthony Gabriel Fogaça,Atendente de Suporte,Atendimento
2,Lucas Gabriel Moreira,Assistente Financeiro,Financeiro
3,Rafaela Camargo,Coordenador de Marketing,Marketing
4,Valentim Siqueira,Analista de Dados,Compliance
5,Alícia Casa Grande,Atendente de Suporte,Atendimento
6,Hellena Ribeiro,Assistente Financeiro,Financeiro
7,Luiz Henrique Monteiro,Analista de Marketing,Marketing
8,Joaquim Oliveira,Analista de Dados,Compliance
9,Dra. Marina Fonseca,Analista de Atendimento,Atendimento
10,Caio Correia,Assistente Financeiro,Financeiro
11,Bianca da Mota,Analista de Marketing,Marketing
12,Ísis Machado,Analista de Dados,Compliance
13,Emanuella da Luz,Atendente de Suporte,Atendimento
14,Marcela Farias,Assistente Financeiro,Financeiro
15,Maria Vitória da Mota,Analista de Marketing,Marketing
16,Gabriel Aparecida,Analista de Dados,Compliance
17,Stephany Sampaio,Analista de Atendimento,Atendimento
18,Sr. Pedro Vieira,Assistente Financeiro,Financeiro
